"date","weight","level2","Hp2","Hp2_sum","Hp2_cumulative","change","difftime","flux","Hp2_rate"
2013-12-12 02:53:30,110.179493,1.53333333333333,0.433333333333333,1.3,5.21083597883598,4.556158,90,0.460217979797979,0.00481481481481482
2013-12-12 02:57:00,114.67182,0.642857142857143,0.185714285714286,1.3,5.39655026455026,4.492327,210,0.19447303030303,0.000884353741496599
2013-12-12 03:06:00,119.083037,0.244444444444444,0.0722222222222222,1.3,5.46877248677249,4.41121700000001,540,0.0742629124579126,0.000133744855967078
2013-12-12 03:07:30,123.513838,1.46666666666667,0.433333333333333,1.3,5.90210582010582,4.430801,90,0.447555656565657,0.00481481481481482
2013-12-12 03:09:00,128.347758,1.63333333333333,0.5,1.5,6.40210582010582,4.83391999999999,90,0.488274747474747,0.00555555555555556
2013-12-12 03:10:30,133.529718,1.73333333333333,0.5,1.5,6.90210582010582,5.18196,90,0.523430303030303,0.00555555555555556
2013-12-12 03:11:30,137.613847,2.05,0.6,1.2,7.50210582010582,4.08412899999999,60,0.618807424242423,0.01
2013-12-12 03:13:00,144.025998,2.16666666666667,0.633333333333333,1.9,8.13543915343915,6.41215099999999,90,0.64769202020202,0.00703703703703704
2013-12-12 03:14:00,148.969934,2.45,0.75,1.5,8.88543915343915,4.94393600000001,60,0.749081212121213,0.0125
2013-12-12 03:15:00,154.14856,2.6,0.8,1.6,9.68543915343915,5.17862600000001,60,0.784640303030304,0.0133333333333333
2013-12-12 03:16:00,159.247954,2.55,0.8,1.6,10.4854391534392,5.09939399999999,60,0.772635454545453,0.0133333333333333
2013-12-12 03:17:00,165.391872,3.1,0.95,1.9,11.4354391534392,6.14391800000001,60,0.930896666666669,0.0158333333333333
2013-12-12 03:18:00,171.107412,2.85,0.85,1.7,12.2854391534392,5.71554,60,0.86599090909091,0.0141666666666667
2013-12-12 03:19:00,177.340335,3.15,0.95,1.9,13.2354391534392,6.232923,60,0.944382272727273,0.0158333333333333
2013-12-12 03:20:00,183.60629,3.1,0.95,1.9,14.1854391534392,6.26595499999999,60,0.94938712121212,0.0158333333333333
2013-12-12 03:21:00,189.547777,3,0.9,1.8,15.0854391534392,5.941487,60,0.900225303030302,0.015
2013-12-12 03:22:00,194.958688,2.7,0.8,1.6,15.8854391534392,5.410911,60,0.819835,0.0133333333333333
2013-12-12 03:23:00,200.839658,2.95,0.9,1.8,16.7854391534392,5.88096999999999,60,0.891056060606059,0.015
2013-12-12 03:24:00,205.809425,2.5,0.75,1.5,17.5354391534392,4.96976700000002,60,0.752995000000003,0.0125
2013-12-12 03:25:00,211.037412,2.6,0.8,1.6,18.3354391534392,5.22798699999998,60,0.79211924242424,0.0133333333333333
2013-12-12 03:26:00,215.383627,2.2,0.65,1.3,18.9854391534392,4.346215,60,0.658517424242424,0.0108333333333333
2013-12-12 03:27:30,221.021727,1.86666666666667,0.566666666666667,1.7,19.5521058201058,5.63810000000001,90,0.569505050505051,0.0062962962962963
2013-12-12 03:29:00,225.929886,1.63333333333333,0.5,1.5,20.0521058201058,4.90815900000001,90,0.495773636363638,0.00555555555555556
2013-12-12 03:30:30,230.928775,1.66666666666667,0.5,1.5,20.5521058201058,4.99888899999999,90,0.504938282828282,0.00555555555555556
2013-12-12 03:32:00,236.14582,1.73333333333333,0.533333333333333,1.6,21.0854391534392,5.21704499999998,90,0.526974242424241,0.00592592592592593
2013-12-12 03:33:30,240.829067,1.56666666666667,0.466666666666667,1.4,21.5521058201058,4.68324700000002,90,0.473055252525255,0.00518518518518519
2013-12-12 03:35:00,245.103729,1.4,0.433333333333333,1.3,21.9854391534392,4.27466199999998,90,0.431784040404038,0.00481481481481482
2013-12-12 03:37:00,249.260289,1.05,0.3,1.2,22.2854391534392,4.15656000000001,120,0.31489090909091,0.0025
2013-12-12 03:40:30,253.688708,0.642857142857143,0.2,1.4,22.4854391534392,4.42841899999999,210,0.19170645021645,0.000952380952380952
2013-12-12 09:13:00,259.081137,0.0081203007518797,0.00225563909774436,1.5,22.4876947925369,5.39242900000002,19950,0.00245724720893143,1.13064616428289e-07
2013-12-12 09:14:30,263.173636,1.36666666666667,0.433333333333333,1.3,22.9210281258702,4.09249899999998,90,0.413383737373735,0.00481481481481482
2013-12-12 09:16:30,268.697953,1.4,0.425,1.7,23.3460281258702,5.524317,120,0.418508863636363,0.00354166666666667
2013-12-12 09:19:00,273.314494,0.9,0.3,1.5,23.6460281258702,4.61654100000004,150,0.279790363636366,0.002
2013-12-12 09:21:30,277.676176,0.9,0.26,1.3,23.9060281258702,4.36168199999997,150,0.264344363636362,0.00173333333333333
2013-12-12 09:24:00,281.813403,0.82,0.24,1.2,24.1460281258702,4.137227,150,0.25074103030303,0.0016
2013-12-12 09:26:30,286.007608,0.84,0.26,1.3,24.4060281258702,4.19420500000001,150,0.254194242424243,0.00173333333333333
2013-12-12 09:30:00,290.317878,0.614285714285714,0.185714285714286,1.3,24.5917424115845,4.31027,210,0.186591774891775,0.000884353741496599
2013-12-12 09:33:30,294.396376,0.585714285714286,0.185714285714286,1.3,24.7774566972988,4.07849799999997,210,0.176558354978354,0.000884353741496599
2013-12-12 09:37:30,298.516971,0.525,0.15,1.2,24.9274566972988,4.12059500000004,240,0.156083143939395,0.000625
2013-12-12 09:43:30,303.084181,0.383333333333333,0.125,1.5,25.0524566972988,4.56720999999999,360,0.115333585858586,0.000347222222222222
2013-12-12 10:41:00,307.718823,0.0417391304347826,0.0139130434782609,1.6,25.0663697407771,4.63464199999999,3450,0.0122124953886693,4.03276622558286e-06
2013-12-12 10:44:30,312.023377,0.585714285714286,0.171428571428571,1.2,25.2377983122056,4.304554,210,0.186344329004329,0.000816326530612245
2013-12-12 10:47:30,316.4814,0.733333333333333,0.233333333333333,1.4,25.471131645539,4.45802300000003,180,0.225152676767678,0.0012962962962963
2013-12-12 10:52:00,321.039795,0.511111111111111,0.155555555555556,1.4,25.6266872010945,4.55839500000002,270,0.153481313131314,0.000576131687242798
